lote,nivel,slot,japones,espanol,lecturas_kanji
2026-09-19 · 1.5M,N4,2311,ウイルスの侵入を防ぐには手洗いが大切だ。,"Para evitar la entrada de virus, lavarse las manos es importante.",侵入 (しんにゅう) | 侵 (しん) | 入 (にゅう) | 防 (ふせ) | 手洗 (てあら) | 大切 (たいせつ)
2026-09-19 · 1.5M,N4,2312,部下の報告を整理しながら、毎日勉強しています。,"Mientras organizo los informes de mis subordinados, estudio cada día.",部下 (ぶか) | 報告 (ほうこく) | 整理 (せいり) | 毎日 (まいにち) | 勉強 (べんきょう)
2026-09-19 · 1.5M,N4,2313,あっ、もう仕事ですか？,"Ah, ¿ya está trabajando?",仕事 (しごと)
2026-09-19 · 1.5M,N4,2314,私たちは大切な関係を防衛します。,Nosotros defendemos una relación importante.,私 (わたし) | 大切 (たいせつ) | 関係 (かんけい) | 防衛 (ぼうえい)
2026-09-19 · 1.5M,N4,2315,それはメディアではなくて、雑誌です。,"Eso no es un medio, sino una revista.",雑誌 (ざっし)
2026-09-19 · 1.5M,N4,2316,この山の植物は特殊なので、普通の道では見つかりません。,"Las plantas de esta montaña son especiales, así que no se encuentran en caminos normales.",山 (やま) | 植物 (しょくぶつ) | 特殊 (とくしゅ) | 普通 (ふつう) | 道 (みち) | 見つかりません (みつかりません)
2026-09-19 · 1.5M,N4,2317,深呼吸をしました。,Respiré hondo.,深呼吸 (しんこきゅう)
2026-09-19 · 1.5M,N4,2318,この新しい機種は性能が優秀です。,Este nuevo modelo tiene un rendimiento excelente.,新しい (あたらしい) | 機種 (きしゅ) | 性能 (せいのう) | 優秀 (ゆうしゅう)
2026-09-19 · 1.5M,N4,2319,年齢を聞いてもいいですか。,¿Puedo preguntarte la edad?,年齢 (ねんれい) | 聞いて (きいて) | 私 (わたし)
2026-09-19 · 1.5M,N4,2320,その時点ではまだ準備中だったので、私は展示室の外で待っていました。,"En ese momento todavía estaba en preparación, así que esperé fuera de la sala de exposiciones.",時点 (じてん) | 準備中 (じゅんびちゅう) | 展示室 (てんじしつ) | 外 (そと) | 待って (まって) | 私 (わたし)
2026-09-19 · 1.5M,N4,2321,航空じゃなくて鉄道です。,"No es aviación, es ferrocarril.",航空 (こうくう) | 鉄道 (てつどう)
2026-09-19 · 1.5M,N4,2322,母の世話をしているので、帰りが遅いです。,"Como cuido de mi madre, vuelvo tarde.",母 (はは) | 世話 (せわ) | 帰り (かえり) | 遅い (おそい)
2026-09-19 · 1.5M,N4,2323,会議資料の作成を急いでいます。,Estoy preparando deprisa los materiales de la reunión.,会議 (かいぎ) | 資料 (しりょう) | 作成 (さくせい) | 急いでいます (いそいでいます)
2026-09-19 · 1.5M,N4,2324,この店では顧客の要望に合わせて商品を並べています。,En esta tienda colocan los productos según lo que piden los clientes.,店 (みせ) | 顧客 (こきゃく) | 要望 (ようぼう) | 合わせて (あわせて) | 商品 (しょうひん) | 並べています (ならべています)
2026-09-19 · 1.5M,N4,2325,その事故で財産も失いましたか。,¿También perdiste tus bienes en ese accidente?,事故 (じこ) | 財産 (ざいさん) | 失いました (うしないました)
2026-09-19 · 1.5M,N4,2326,この駅では列車の本数が少ないです。,En esta estación pasan pocos trenes.,駅 (えき) | 列車 (れっしゃ) | 本 (ほん) | 数 (すう) | 少 (すく)
2026-09-19 · 1.5M,N4,2327,これらは健康食品ではありません。,Estos no son alimentos saludables.,健 (けん) | 康 (こう) | 食 (しょく) | 品 (ひん)
2026-09-19 · 1.5M,N4,2328,趣味で日本語を勉強していますが、仕事が忙しいので毎日ではありません。,"Estudio japonés por afición, pero como el trabajo me ocupa, no es todos los días.",趣 (しゅ) | 味 (み) | 日 (にち) | 本 (ほん) | 語 (ご) | 勉 (べん) | 強 (きょう) | 仕 (し) | 事 (ごと) | 忙 (いそが) | 毎 (まい) | 日 (にち)
2026-09-19 · 1.5M,N4,2329,彼はすぐに賛成を示す。,Él muestra enseguida su aprobación.,彼 (かれ) | 賛 (さん) | 成 (せい) | 示 (しめ)
2026-09-19 · 1.5M,N4,2330,祖父は村で偉大な人として知られています。,A mi abuelo se le conoce en el pueblo como una gran persona.,祖父 (そふ) | 村 (むら) | 偉大 (いだい) | 人 (ひと) | 知られています (しられています)
2026-09-19 · 1.5M,N4,2331,あなたは歌うのが得意ですか。,¿Eres bueno cantando?,歌う (うたう) | 得意 (とくい)
2026-09-19 · 1.5M,N4,2332,その件はみんなで相談して判断してください。,"Sobre ese asunto, consultadlo entre todos y tomad una decisión.",件 (けん) | 相談 (そうだん) | 判断 (はんだん)
2026-09-19 · 1.5M,N4,2333,先日は失礼しました。,Perdón por el otro día.,先日 (せんじつ) | 失礼 (しつれい)
2026-09-19 · 1.5M,N4,2334,知り合いが来たので、仕事を少し早く終えました。,"Como vino un conocido, terminé el trabajo un poco antes.",知り合い (しりあい) | 来た (きた) | 仕事 (しごと) | 少し (すこし) | 早く (はやく) | 終えました (おえました)
2026-09-19 · 1.5M,N4,2335,この業界は変化がとても速いです。,"En este sector, los cambios van muy rápido.",業界 (ぎょうかい) | 変化 (へんか) | 速い (はやい)
2026-09-19 · 1.5M,N4,2336,その祭りは公式に今年で百周年です。,"Oficialmente, ese festival cumple cien años este año.",祭り (まつり) | 公式 (こうしき) | 今年 (ことし) | 百 (ひゃく) | 周年 (しゅうねん)
2026-09-19 · 1.5M,N4,2337,まだ説得できますか。,¿Todavía puedes convencerle?,説得できます (せっとくできます)
2026-09-19 · 1.5M,N4,2338,家のテレビで殺害事件のニュースを見た。,En casa vi una noticia de asesinato por televisión.,家 (いえ) | 殺害事件 (さつがいじけん) | 見た (みた)
2026-09-19 · 1.5M,N4,2339,このケーキは甘くない。しかも硬い。,"Este pastel no es dulce; además, está duro.",甘くない (あまくない) | 硬い (かたい)
2026-09-19 · 1.5M,N4,2340,駅に近いアパートは高かったので、少し古いほうを買いました。,"Como el apartamento cerca de la estación era caro, compré uno un poco más viejo.",駅 (えき) | 近い (ちかい) | 高かった (たかかった) | 少し (すこし) | 古い (ふるい) | 買いました (かいました)
2026-09-19 · 1.5M,N4,2341,満員電車では心理的に乱れます。,"En un tren lleno, el ánimo se altera.",満員電車 (まんいんでんしゃ) | 心理的 (しんりてき) | 乱れます (みだれます)
2026-09-19 · 1.5M,N4,2342,家族と英国への旅行を楽しみました。,Disfruté mucho el viaje al Reino Unido con mi familia.,家 (か) | 族 (ぞく) | 英 (えい) | 国 (こく) | 旅 (たび) | 行 (こう) | 楽 (たの)
2026-09-19 · 1.5M,N4,2343,この体温計は自動ですか。,¿Este termómetro es automático?,体 (たい) | 温 (おん) | 計 (けい) | 自 (じ) | 動 (どう)
2026-09-19 · 1.5M,N4,2344,試験の前に、幸運を願って友だちにお守りを渡しました。,"Antes del examen, le deseé suerte y le di un amuleto a un amigo.",試 (し) | 験 (けん) | 前 (まえ) | 幸 (こう) | 運 (うん) | 願 (ねが) | 友 (とも) | 守 (まも) | 渡 (わた)
2026-09-19 · 1.5M,N4,2345,それは名誉ではありません。,Eso no es un honor.,名 (めい) | 誉 (よ)
2026-09-19 · 1.5M,N4,2346,結婚の件はまだ申し上げられませんが、気持ちは伝えたいです。,"Sobre el asunto del matrimonio, todavía no puedo decir nada, pero quiero transmitir lo que siento.",結婚 (けっこん) | 件 (けん) | 申し上げられません (もうしあげられません) | 気持ち (きもち) | 伝えたい (つたえたい)
2026-09-19 · 1.5M,N4,2347,ここのもつ煮は、寒い日の楽しみです。,Aquí el guiso de casquería es un placer en días fríos.,煮 (に) | 寒い (さむい) | 日 (ひ) | 楽しみ (たのしみ)
2026-09-19 · 1.5M,N4,2348,この森には、写真の才能を伸ばしたくなります。,En este bosque dan ganas de desarrollar el talento para la fotografía.,森 (もり) | 写真 (しゃしん) | 才能 (さいのう) | 伸ばしたく (のばしたく)
2026-09-19 · 1.5M,N4,2349,救助の要請はできますか。,¿Se puede solicitar rescate?,救助 (きゅうじょ) | 要請 (ようせい)
